,title,topic,topic_keywords
0,"28-ton, 1.2-megawatt tidal kite is now exporting power to the grid",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
1,Shining Laser Light on Glass Creates a Solar Cell | New energy and sensor applications could await,-1,
2,"Tokyo scientists create nanoscrolls for next-gen tech | Researchers achieved a major breakthrough by crafting nanoscrolls using Janus nanosheets. This innovation unlocks doors to exciting possibilities in catalysis, optics, and clean energy.",-1,
3,'A mouse for your mouth': New device allows users to scroll with their tongues,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
4,"Deep Space Station 13 at NASA’s Goldstone complex in California – part of the agency’s Deep Space Network – is an experimental antenna that has been retrofitted with an optical terminal. In a first, this proof of concept received both radio frequency & laser signals from deep space at the same time.",18,"ray, 10, laser, bright, ultrafast, waves, photons, crystals, atomic, sound waves"
5,"This ultrasound sticker senses changing stiffness of deep internal organs. The sticky, wearable sensor could help identify early signs of acute liver failure.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
6,"In a First, a Prosthetic Limb Can Sense Temperature Like a Living Hand",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
7,Alternate qubit design does error correction in hardware. Early-stage technology has the potential to cut qubits needed for useful computers.,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
8,Scientists develop a low-cost device to make cell therapy safer | A plastic microfluidic chip can remove some risky cells that could potentially become tumors before they are implanted in a patient.,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
9,"Gel and lithium-ion tech could enable 1000-mile EV range on one charge | Researchers achieve EV battery breakthrough with silicon-based materials and gel electrolytes, moving closer to a 1,000-kilometer range on a single charge.",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
10,Inhalable sensors could enable early lung cancer detection,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
11,AI can now master your music—and it does shockingly well,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
12,CERN unleashes powerful robot-dog to inspect nuclear radiation zones,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
13,Sugar cane waste converted into concrete-beating Sugarcrete | Substance has been incorporated into an eco-friendly building material,-1,
14,"Momentary Fusion Breakthroughs Face Hard Reality. New NIF data yields promise, though road to repeatability remains long.",6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
15,Researchers have developed a new method to extract high-quality iron using hydrogen plasma-based reduction to turn toxic red mud into iron that is pure enough for steelmaking.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
16,"Korean researchers develop heat-resistant material that withstands 1000°C/1832°F | Not just high temperatures, the material also works well under extreme UV exposure making it ideal for applications in space too.",15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
17,AiSee wearable tells blind users what they're holding in their hand,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
18,Experimental gene therapy allows kids with inherited deafness to hear,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
19,"US firm plans to build 10,000 qubit quantum computer by 2026 | The first fault-tolerant quantum computer could be unveiled before the year end, marking an important milestone in the field.",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
20,This new piezoelectric bandage can heal broken bones faster | The future of bone healing could feature 'bone bandages' that harness piezoelectricity and natural minerals.,-1,
21,This biodegradable sensor can tell if your food is safe from pesticides | The device could help ensure food safety in a world that faces food scarcity and health issues due to the excessive use of agrochemicals.,-1,
22,NASA’s Next-Generation ISS Spacesuit Passes Zero-Gravity Test,-1,
23,First functional human brain tissue produced through 3D printing | A team of researchers has created functional 3D-printed brain tissue to examine the brain's function and study various neurological disorders.,11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
24,"Nanoparticle Skin Patch Monitors Tumor Size During Cancer Care | The nanoparticle-infused skin patch can send its data to a smartphone, making tumor monitoring even easier.",-1,
25,Infrared Sensors Can Now Peer Around Corners | Non-line-of-sight imaging is no longer restricted to visible wavelengths of light,10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
26,Imaging method reveals new cells and structures in human brain tissue. A new microscopy technique that enables high-resolution imaging could one day help doctors diagnose and treat brain tumors.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
27,The European Space Agency will test 3D printing metal on the ISS,-1,
28,"HaLow Wi-Fi standard achieves 1.8-mile range in field test | Ultra-long range could support public Wi-Fi, IoT, smart buildings, and more",-1,
29,Can a Brain Implant Treat Addiction? Some experts tout deep brain stimulation as a lifeline for people struggling with opioid use. Others question the hype.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
30,"NASA's RST next-gen imaging tech lets experts directly view exoplanets | NASA's Roman Space Telescope, featuring the novel Coronagraph Instrument, is set to transform exoplanet imaging, pushing the boundaries of space exploration.",-1,
31,"How bacteria and self-healing roads could soon fix the UK’s 750,000 potholes",8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
32,"Phone vibration motor used to build 3D tumor model for cancer drug testing | Researchers pioneer a $7 DIY device, using a cell phone motor, for high-throughput 3D tumor spheroid creation, revolutionizing anti-cancer drug testing.",-1,
33,"WaveAerospace has announced ""the world's fastest multirotor UAS,"" a ""new class of aircraft"" | A quadcopter drone with a 300+ mph jet turbine in the middle, capable of all-weather operation.",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
34,"The New, New Transistor. In power electronics, aluminum nitride could overtake two powerhouses that only recently bested silicon.",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
35,DNA particles that mimic viruses hold promise as vaccines,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
36,"RTX CHIMERA new microwave fries drone target during White Sands testing | Throughout a three-week field test, Raytheon's CHIMERA high-powered microwave system managed to fry static targets and track aerial targets flawlessly.",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
37,"Researchers developed a battery-free sensor that reacts to sound waves, producing vibrational energy to power an electronic device | The novel sensor would not only reduce battery waste but could also power medical devices like cochlear implants or monitor buildings for faults.",-1,
38,"A breakthrough clinical trial using gene therapy has restored hearing to five children born deaf | After six months, the children were able to recognize speech and hold conversations, raising hopes for wider use in the near future.",-1,
39,It turns out NASA’s Mars helicopter was much more revolutionary than we knew | Ingenuity packed more computing power than all other NASA deep space missions combined.,-1,
40,"China creates atomic clock that will run error-free for 7.2 billion years | Using strontium and ultra-stable lasers, the researchers have built an optical clock, the second of its kind in the world.",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
41,"DNA From the Ocean’s ‘Twilight Zone’ Could Lead to New Lifesaving Drugs, Scientists Say. Researchers catalogued the genes of more than 300 million groups of marine bacteria, viruses and fungi in hopes that the database could lead to breakthroughs in medicine, energy and agriculture.",-1,
42,1/100th of the cost: CPU startup Tachyum claims that one of its processing units can rival dozens of Nvidia H200 GPUs — with a 99% saving that could turn the AI market on its head if true,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
43,Disney offers an elegant solution to VR’s movement problem | TechCrunch,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
44,"NASA’s Ingenuity Mars Helicopter Has Taken Its Final Flight. Originally designed for up to five flights on Mars, Ingenuity performed 72 over three years, until one of its rotor blades was damaged during landing on January 18.",-1,
45,"First AI-powered handheld medical device to assist physicians in detecting all three common skin cancers: basal cell carcinoma, squamous cell carcinoma, and melanoma.",-1,
46,World's 1st rhino pregnancy via embryo transfer offers hope to save species | Wildlife conservationists hail this groundbreaking achievement and see it as a potential step toward the protection of the critically endangered northern white rhino.,16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
47,Airborne infection risk plummets in face of metal nanoparticle spray | Silver oxide and copper oxide sprays provide a greater than 99% antiviral activity during a 24-hour period examined in the study.,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
48,"Scientists Advance Affordable, Sustainable Solution for Flat-Panel Displays and Wearable Tech",9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
49,Urease-powered nanobots for radionuclide bladder cancer therapy,-1,
50,Gene Therapy Allows an 11-Year-Old Boy to Hear for the First Time,-1,
51,Lightweight woven antenna could replace field-deployed dishes | A multi-stable deployable quadrifilar helix antenna with radiation reconfigurability for disaster-prone areas,-1,
52,Vibrating belt that treats low bone density gets FDA approval | The device is the first of its kind to provide a medication-free treatment option for post-menopausal women that have weakened bones.,-1,
53,"Liquid RAM Flexes for Wearables, Robots, Implants. A non-volatile version could be on its way, too.",9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
